xxxx -> xxFN -> FLFN
Int | Counted/ |  Center  | Scen. A/D | Leg/Node | Turn Vol |
 #  | Modeled  |Node Check|  Balance  | Vol Check| Balancing|
-------------------------------------------------------------
  1  |          |          |          |   454    |   551    |
  2  |          |          |          |   453    |   551    |
 10  |          |          |          |   454    |   551    |
 11  |          |          |   350    |   454    |   551    |
 12  |          |          |          |   452    |   551    |
 13  |          |          |          |          |   551    |
 19  |          |          |          |   454    |   551    |
 20  |          |          |          |          |   551    |
 23  |          |          |          |          |   551    |
 24  |          |          |          |          |   551    |
 28  |          |          |   350    |   453    |   551    |
 31  |          |          |          |          |   551    |
 33  |          |          |          |          |   551    |
 37  |          |          |          |   454    |   551    |
 38  |          |          |          |          |   551    |
 42  |          |          |          |   454    |   551    |
 43  |          |          |          |          |   551    |
 44  |          |          |          |   454    |   551    |
 45  |          |          |          |          |   551    |
 46  |          |          |          |   454    |   551    |
 50  |          |          |          |          |   551    |
 51  |          |          |          |          |   551    |
 52  |          |          |          |          |   551    |
 53  |          |          |          |          |   551    |
 54  |          |          |          |   454    |   551    |
 55  |          |          |          |   454    |   551    |
 56  |          |          |          |   454    |   551    |
 57  |          |          |          |   454    |   551    |
 61  |          |          |          |          |   551    |
 65  |          |          |          |   454    |   551    |
 66  |          |          |   350    |   454    |   551    |
 67  |          |          |   350    |   454    |   551    |
 68  |          |          |          |          |   551    |
 69  |          |          |          |          |   551    |
 70  |          |          |   350    |   454    |   551    |
 71  |          |          |          |          |   551    |
 73  |          |          |          |   454    |   551    |
 74  |          |          |          |          |   551    |
 75  |          |          |          |          |   551    |
 77  |          |          |          |          |   551    |
 78  |          |          |   350    |          |   551    |
 79  |          |          |          |          |   551    |
 82  |          |          |          |          |   551    |
 83  |          |          |          |          |   551    |
 84  |          |          |          |          |   551    |
 85  |          |          |          |          |   551    |
 86  |          |          |          |          |   551    |
 87  |          |          |          |          |   551    |
 89  |          |          |          |          |   551    |
 90  |          |          |          |          |   551    |
 91  |          |          |          |          |   551    |
 92  |          |          |          |          |   551    |
 93  |          |          |          |          |   551    |
 94  |          |          |          |          |   551    |
 95  |          |          |          |   454    |   551    |
 96  |          |          |          |   454    |   551    |
 97  |          |          |          |          |   551    |
 98  |          |          |          |          |   551    |
 99  |          |          |          |          |   551    |
100  |          |          |          |   454    |   551    |
102  |          |          |   350    |          |   551    |
103  |          |          |   350    |   454    |   551    |
104  |          |          |          |          |   551    |
105  |          |          |          |          |   551    |
106  |          |          |          |          |   551    |
108  |          |          |          |   454    |   551    |
109  |          |          |          |          |   551    |
110  |          |          |          |   454    |   551    |
111  |          |          |          |          |   551    |
112  |          |          |          |   454    |   551    |
113  |          |          |   350    |   454    |   551    |
114  |          |          |   350    |   454    |   551    |
115  |          |          |          |   453    |   551    |
118  |          |          |          |          |   551    |
119  |          |          |          |   454    |   551    |
120  |          |          |          |          |   551    |
121  |          |          |          |   454    |   551    |
122  |          |          |   350    |   454    |   551    |
123  |          |          |          |   454    |   551    |
124  |          |          |          |   454    |   551    |
125  |          |          |          |   454    |   551    |
126  |          |          |          |   454    |   551    |
127  |          |          |          |   454    |   551    |
129  |          |          |          |          |   551    |
130  |          |          |          |   454    |   551    |
131  |          |          |          |   454    |   551    |
132  |          |          |          |   454    |   551    |
133  |          |          |          |          |   551    |
134  |          |          |          |          |   551    |
135  |          |          |   350    |   454    |   551    |
136  |          |          |          |   454    |   551    |
137  |          |          |          |   454    |   551    |
138  |          |          |          |          |   551    |
139  |          |          |          |   455    |   551    |
140  |          |          |   350    |   454    |   551    |
141  |          |          |          |   454    |   551    |
142  |          |          |          |   454    |   551    |
143  |          |          |          |          |   551    |
144  |          |          |          |          |   551    |
145  |          |          |          |          |   551    |
146  |          |          |          |   454    |   551    |
147  |          |          |          |   454    |   551    |
148  |          |          |          |   454    |   551    |
149  |          |          |          |   454    |   551    |
150  |          |          |          |   454    |   551    |
151  |          |          |          |   454    |   551    |
152  |          |          |   350    |   454    |   551    |
153  |          |          |          |   454    |   551    |
155  |          |          |          |   454    |   551    |
156  |          |          |          |   454    |   551    |
157  |          |          |          |   454    |   551    |
160  |          |          |          |   453    |   551    |
161  |          |          |   350    |          |   551    |
162  |          |          |          |   454    |   551    |
163  |          |          |          |   454    |   551    |
164  |          |          |          |          |   551    |
165  |          |          |          |   454    |   551    |
166  |          |          |          |   453    |   551    |
167  |          |          |          |   451    |   551    |
168  |          |          |          |   454    |   551    |
169  |          |          |          |   454    |   551    |
170  |          |          |   350    |   454    |   551    |
171  |          |          |          |          |   551    |
172  |          |          |          |   453    |   551    |
173  |          |          |          |          |   551    |
174  |          |          |          |          |   551    |
175  |          |          |          |          |   551    |
176  |          |          |          |          |   551    |
177  |          |          |          |   454    |   551    |
179  |          |          |          |   457    |   551    |
180  |          |          |          |   453    |   551    |
181  |          |          |          |          |   551    |
182  |          |          |          |   454    |   551    |
183  |          |          |          |   451    |   551    |
184  |          |          |          |   454    |   551    |
185  |          |          |          |   454    |   551    |
186  |          |          |          |          |   551    |
187  |          |          |          |   454    |   551    |
188  |          |          |          |          |   551    |
189  |          |          |          |          |   551    |
190  |          |          |          |          |   551    |
191  |          |          |   350    |          |   551    |
192  |          |          |          |          |   551    |
193  |          |          |          |          |   551    |
194  |          |          |          |          |   551    |
195  |          |          |          |   454    |   551    |
196  |          |          |          |          |   551    |
197  |          |          |          |          |   551    |
198  |          |          |          |   454    |   551    |
199  |          |          |          |          |   551    |
200  |          |          |          |          |   551    |
201  |          |          |          |          |   551    |
202  |          |          |   350    |   454    |   551    |
203  |          |          |   350    |          |   551    |
205  |          |          |          |          |   551    |
206  |          |          |          |   454    |   551    |
207  |          |          |          |   454    |   551    |
208  |          |          |          |          |   551    |
209  |          |          |          |   454    |   551    |
210  |          |          |          |          |   551    |
211  |          |          |          |   454    |   551    |
212  |          |          |          |          |   551    |
213  |          |          |          |   454    |   551    |
214  |          |          |          |   454    |   551    |
215  |          |          |          |          |   551    |
216  |          |          |          |   454    |   551    |
217  |          |          |   350    |   454    |   551    |
218  |          |          |          |          |   551    |
219  |          |          |   350    |          |   551    |
222  |          |          |          |          |   551    |
223  |          |          |   350    |          |   551    |
226  |          |          |   350    |          |   551    |
227  |          |          |          |          |   551    |
