Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
  1     15   28    4   662   23   71    12  237    8     7  159  201 
  2     33   35   24    11   89   48    29  363  220   108  460   31 
  3    206  477  405    64  281   87    38  250   22   204  372   45 
  4      0    0    0   108    0  465   343  606    0     0  686  157 
  5     77 1033  225   134  626  158   155  290  139   308  516  374 
  6    164 1197   91    82 1098  126   158  353  150   169  455  140 
  7    301  981  203   252  895   93   179  557   81   786  599  335 
  8    300 1028  149   445  909   71    29  378  168   386  468  218 
  9    280  701  221   183 1089   66    53  315  221   354  314  356 
 10      0 1226   33    34 1649    0    10    0    0    37    0   54 
 11     50 1319    1     5 1548    7    94    5  421     3    0   10 
 12      4 1255    0     0 1883    3    83    0    6     0    0    0 
 13     78   37   49   300  275   40    18 1834   60   167 1234   50 
 14      0    0    0   857    0   31    70 1821    0     0 1298  198 
 15     92    0  514     0    0    0     0  682   69   397 1246    0 
 16    320  748  595   160  983  152   202 1118  343   348 1579  107 
 17    176  541  281   248  928  255   108  724  487   279  830  208 
 18      9  303  304   349  868  248   279  311  220   204  417  151 
 19      0    2    4  1031    2  216   320  510    2     6  979  347 
 20    183   96  207    66   21   65    49 1073   46   183 1366  268 
 21    222  316  164   177  364   99   146 2123  182   276 1820  179 
 22     55  186  329   207  439  284   145 1115  113   127 1133   76 
 23     38  210   12   191  227  118   242  792   10   166  578   29 
 24     69   84   61   163    0  253    18 1242  330   305  936  127 
 25    172  302  260   183  443  101   208 1195   91   371 1570  222 
 26    144  697  261   595  889   35     0 1958  413   123 2193  241 
 27    255  653  439   180  351   95    35 2014  168   190 2078  244 
 28      0 1676   61     0 1416    0     0    0    0     0    0    9 
 29    182  333  450   204  518  222   243 1281  230   786 1603  142 
 30     43  993  447   158  855  825   274 1215  252   291 1292  381 
 31      2 1160  164    86 1486  138    67  120    1   127  137  255 
 32    137  358   17   157  381  139   153  596  117   376  716  103 
 33      0    0    0     0    0 1107   779 1126    0     0  950  174 
 34    125  509  538   123  727  152     0  495  179   591  573  133 
 35     23  319  117   253  557  516   173 1140   51   127  935  133 
 36    305  494  118   173 1288   97   137  923  626   122  901   15 
 37     23   14   10    99    0  228   157 1222    8     3 1265   40 
 38     11   91   89    36  133  150    36 1151   78   223 1091   39 
 39     85  310  214   203  564  776   613 1148  202   245 1069  129 
 40     89  536  137   160  718  209   107 1011   22   230 1230  103 
 41    272  419   82   163  469  149   305  900  540    49  667  105 
 42      4  495  142   202  932   11     8    2    8   119    3  112 
 43    250  359   27    87  578  279   221  175  362    16  229   58 
 44     21  536   86    58  926   11     7    7   15   150    7   99 
 45     41  243   36    84  812  224   316  229   53    89  267   56 
 46     76    1   86    26    2   10    11 1099  107    92  986   15 
 47     64  976   89   116 1453  224   685  944  122   421 1033   75 
 48    178  865  135    42 1569  373   220  824  270   244  850  114 
 49    224 1072  138   178 2007  177   244  730  274   342  694  169 
 50     79 1199  121   244 2001  113    49  139   40   101  103   97 
 51     33 1252  430    67 1943   41    40  184    9   354  121   66 
 52     32 1488   23    93 2209  219   144  159   28    22  111   60 
 53     78 1638   89    84 2276   27    22  112   56    71   58  107 
 54      3   28   31   630   55  199    80    8    1    16   38  207 
 55    288 1604   34     0 2288    6     2    0  630    36    0    1 
 56      0 1651    0     0 2653    8    53    0    7     0    0    0 
 57    192 1820   80    20 2568    9     0    0   35    61    9   27 
 58      0  484  508     1  866  298   284  644    9   295  769   49 
 59      0  486  252     0 1013  426   548 1216   24   114  560   17 
 60      8  370  171   194  914  582   266  667  208   285  659   56 
 61    333  464  122   190 1155   46    54  752  661    63  290   62 
 62    477  680  150   371 1518   88    99  352  520   156  412  119 
 63     72  460  212   224  711  344   259  566  127   273  509  128 
 64    118  495  436    92  366   69   128  403  142   971  583   94 
 65    192 1305    8    12 2213  163   176    7  154     6    3   11 
 66     27 1142   18   233 1812   68    22    4    7    59    5  158 
 67      7  729   69   132 1353    3     1    1    5    75    0   58 
 68    285  398  197    54  204  151   176 1296  201   176 1196   96 
 69    179 1208   46    41  805  120   132   54   44    89  338  177 
 70      0  958    0   332 1497   69    47    0    0     0    0  233 
 71    582  787   48   200 1372  556    53   46  321   275  146   48 
 72     41  497  590   264 1213   34    50 1885  164     0 1284  223 
 73    463  855    3     2  934  454   258    1  767     4   22   12 
 74     12  968  285   282  879   21    45   97  117   443   73  420 
 75     80  127   60    13  267   23    42  396  387    53  160   25 
 76    102  125   18   149  576   43    39  410  137    21  221   22 
 77    124  182  351    24   45   21    36  281   75   123  317  126 
 78    510  449  148   285  541   32   101  167  343   195  485  611 
 79    410 1188  447   129 1189   47    57  158  170   181  333  331 
 80      0    0    0   274    0  106   203  431    0     0  450  326 
 81    232  983  261   401 1428  163   366  772  102   404  536  261 
 82      9  632  296   203 1127   10    14   35    5   334   17  411 
 83     52  455   26    49  830  127   156  128   78    12   36   20 
 84     46  365   32    53  498  315   149  213   84    21  138   28 
